"Timestamp","Username","Total score","Document","Document [Score]","Document [Feedback]","Token","Token [Score]","Token [Feedback]","Guessed name","Guessed name [Score]","Guessed name [Feedback]","Guessed characteristics","Guessed characteristics [Score]","Guessed characteristics [Feedback]"
"2019/06/06 4:16:49 pm EET","student2","0.00 / 2","student2-2019-03-29-question-009.html","-- / 0","","_MIP_ _CEE_","-- / 0","","NA","-- / 1","","the name of a TV show","-- / 1",""
"2019/06/06 8:48:13 pm EET","student2","0.00 / 2","student2-2019-03-29-question-244.html","-- / 0","","_JU11_ _TREA9_","-- / 0","","NA","-- / 1","","TV channel, TV show, or media organization","-- / 1",""
"2019/06/06 8:54:59 pm EET","student2","0.00 / 2","student2-2019-03-29-question-190.html","-- / 0","","_TEES_","-- / 0","","NA","-- / 1","","Greek politician, possibly former prime minister, involved in a scandal","-- / 1",""
"2019/06/06 8:57:47 pm EET","student2","0.00 / 2","student2-2019-03-29-question-021.html","-- / 0","","_TREA_","-- / 0","","Stacy Brown","-- / 1","","","-- / 1",""
"2019/06/06 9:03:16 pm EET","student2","0.00 / 2","student2-2019-03-29-question-332.html","-- / 0","","_WOK_","-- / 0","","Al Gore","-- / 1","","","-- / 1",""
"2019/06/06 9:08:25 pm EET","student2","0.00 / 2","student2-2019-03-29-question-327.html","-- / 0","","_HY60_ _SIE_","-- / 0","","Vladimir Putin","-- / 1","","","-- / 1",""
"2019/06/06 9:16:01 pm EET","student2","0.00 / 2","student2-2019-03-29-question-118.html","-- / 0","","_QUEER_","-- / 0","","Taiwan","-- / 1","","","-- / 1",""
"2019/06/06 9:18:02 pm EET","student2","0.00 / 2","student2-2019-03-29-question-038.html","-- / 0","","_PEA_ _MIP_","-- / 0","","NA","-- / 1","","tv channel, some kind of news agency","-- / 1",""
"2019/06/06 9:19:49 pm EET","student2","0.00 / 2","student2-2019-03-29-question-338.html","-- / 0","","_PA14_","-- / 0","","Dakar","-- / 1","","","-- / 1",""
"2019/06/06 9:27:49 pm EET","student2","0.00 / 2","student2-2019-03-29-question-073.html","-- / 0","","_GEEK29_","-- / 0","","NA","-- / 1","","probably the capital of Zimbabwe or another East African country","-- / 1",""
"2019/06/07 3:05:28 pm EET","student2","0.00 / 2","student2-2019-03-29-question-190.html","-- / 0","","_TRY13_","-- / 0","","Greeks","-- / 1","","or ""voters""","-- / 1",""
"2019/06/07 3:14:21 pm EET","student2","0.00 / 2","student2-2019-03-29-question-177.html","-- / 0","","_GU24_ _TRA_","-- / 0","","NA","-- / 1","","an American city, perhaps New York or Los Angeles","-- / 1",""
"2019/06/07 3:16:20 pm EET","student2","0.00 / 2","student2-2019-03-29-question-240.html","-- / 0","","_LI32_","-- / 0","","NA","-- / 1","","might be the name of a US President","-- / 1",""
"2019/06/07 3:19:18 pm EET","student2","0.00 / 2","student2-2019-03-29-question-017.html","-- / 0","","_PEE85_","-- / 0","","Martha Stewart","-- / 1","","","-- / 1",""
"2019/06/07 3:20:53 pm EET","student2","0.00 / 2","student2-2019-03-29-question-077.html","-- / 0","","_ZI5_","-- / 0","","Florida","-- / 1","","","-- / 1",""
"2019/06/07 3:23:45 pm EET","student2","0.00 / 2","student2-2019-03-29-question-381.html","-- / 0","","_FOP_","-- / 0","","NA","-- / 1","","probably a Chinese city, perhaps Dongguan","-- / 1",""
"2019/06/07 3:25:51 pm EET","student2","0.00 / 2","student2-2019-03-29-question-283.html","-- / 0","","_NEEL62_ _JIEN_","-- / 0","","NA","-- / 1","","news agency / TV channel","-- / 1",""
"2019/06/07 3:28:23 pm EET","student2","0.00 / 2","student2-2019-03-29-question-240.html","-- / 0","","_SHAX_ _SEE74_ _QUOOS_","-- / 0","","NA","-- / 1","","nickname for _REE_ _FY73_, who is probably a female journalist with a bad reputation","-- / 1",""
"2019/06/07 3:29:11 pm EET","student2","0.00 / 2","student2-2019-03-29-question-381.html","-- / 0","","_FEEF_","-- / 0","","Taiwan","-- / 1","","","-- / 1",""
"2019/06/07 3:30:43 pm EET","student2","0.00 / 2","student2-2019-03-29-question-082.html","-- / 0","","_SIE44_","-- / 0","","United Nations","-- / 1","","","-- / 1",""
"2019/06/07 3:32:39 pm EET","student2","0.00 / 2","student2-2019-03-29-question-077.html","-- / 0","","_LING68_ _JO_","-- / 0","","NA","-- / 1","","a Florida county","-- / 1",""
"2019/06/07 3:33:59 pm EET","student2","0.00 / 2","student2-2019-03-29-question-077.html","-- / 0","","_CHI39_","-- / 0","","NA","-- / 1","","name of a day","-- / 1",""
"2019/06/07 3:34:50 pm EET","student2","0.00 / 2","student2-2019-03-29-question-005.html","-- / 0","","_HO_ _SEEP_","-- / 0","","Hong Kong","-- / 1","","","-- / 1",""
"2019/06/07 3:36:52 pm EET","student2","0.00 / 2","student2-2019-03-29-question-009.html","-- / 0","","_MIP_ _CEE_","-- / 0","","NA","-- / 1","","a TV show","-- / 1",""
"2019/06/07 3:40:01 pm EET","student2","0.00 / 2","student2-2019-03-29-question-077.html","-- / 0","","_FY73_","-- / 0","","George W. Bush","-- / 1","","","-- / 1",""
"2019/06/07 3:42:16 pm EET","student2","0.00 / 2","student2-2019-03-29-question-078.html","-- / 0","","_DEE_ _SHOO26_","-- / 0","","Al Gore","-- / 1","","","-- / 1",""
"2019/06/07 3:47:38 pm EET","student2","0.00 / 2","student2-2019-03-29-question-021.html","-- / 0","","_KUF15_ _MIE_","-- / 0","","Michael Jackson","-- / 1","","","-- / 1",""
